"lon","lat","source","color","data_evento","data_fine_traiettoria","meteo","recettore","data_inizio_traiettoria","uid","geometry"
10.321359,43.581684,"Costiero gas","#ff0000","2019-07-08 07:00:00","2019-07-08 06:00:00","eni","R1","2019-07-08 04:00:00",0,"POLYGON ((10.32362891887601 43.58095872237753, 10.32354632239713 43.58083136423242, 10.32343471740429 43.5806955711684, 10.32069747527534 43.58342553385862, 10.320875141125 43.5834579889674, 10.32109811868117 43.5834821103206, 10.32362891887601 43.58095872237753))"
10.3201203983695,43.58611844865335,"Costieri D’Alesio","#00ff00","2019-07-08 07:00:00","2019-07-08 06:00:00","eni","R1","2019-07-08 04:00:00",0,"POLYGON ((10.32260982385906 43.58197483265121, 10.32249629021968 43.58193567511519, 10.32225455003848 43.58187259998978, 10.31989446199606 43.5842264115994, 10.3147885905632 43.5884273657592, 10.31494153868181 43.58861344850776, 10.32017008130238 43.58440742964732, 10.32260982385906 43.58197483265121))"
10.321359,43.581684,"Costiero gas","#ff0000","2019-10-24 21:23:00","2019-10-24 20:23:00","eni","R1","2019-10-24 18:23:00",0,"POLYGON ((10.32374430469537 43.58119365856251, 10.32373238310536 43.58115894948676, 10.32365038640307 43.5809918238422, 10.32361632550727 43.58093930426062, 10.3190696900334 43.58182192708085, 10.31889141583837 43.58186449271876, 10.31892647716908 43.58203686834521, 10.31895907591243 43.58213177785403, 10.3191841359827 43.58207880750523, 10.32374430469537 43.58119365856251))"
10.3201203983695,43.58611844865335,"Costieri D’Alesio","#00ff00","2019-10-24 21:23:00","2019-10-24 20:23:00","eni","R1","2019-10-24 18:23:00",0,"POLYGON ((10.32127846020337 43.58167228989888, 10.32072893823612 43.58161284787551, 10.32023742087259 43.58159523948022, 10.3190696900334 43.58182192708085, 10.31653684462677 43.58242668191052, 10.31618176474656 43.58261872000338, 10.31578998875768 43.58287765717314, 10.3191841359827 43.58207880750523, 10.32127846020337 43.58167228989888))"
10.338633999999999,43.587334000000006,"Raffineria ENI","#ffff00","2019-10-24 21:23:00","2019-10-24 20:23:00","eni","R1","2019-10-24 18:23:00",0,"POLYGON ((10.33963559293137 43.57832616357604, 10.338634 43.57829028267044, 10.33744423167962 43.5783329047412, 10.33626886288915 43.57848311038028, 10.33438777036239 43.57884828044958, 10.33388793795407 43.57897869466139, 10.33278771042484 43.5793581533783, 10.33245787220016 43.57950231652011, 10.33636471345771 43.57874398132982, 10.33963559293137 43.57832616357604))"
10.316178,43.583814000000004,"Depositi Neri","#00ffff","2019-10-24 21:23:00","2019-10-24 20:23:00","eni","R1","2019-10-24 18:23:00",0,"POLYGON ((10.31775166528038 43.58241595515056, 10.31775146442441 43.5824158223934, 10.31755596224951 43.58231008477164, 10.31736845011895 43.58222812362644, 10.31393437196687 43.58304806129121, 10.31388653252527 43.5831218238422, 10.31380453292185 43.58328894948676, 10.3137836036289 43.58334988185508, 10.31775166528038 43.58241595515056))"
10.316142,43.582406,"SAI","#ff00ff","2019-10-24 21:23:00","2019-10-24 20:23:00","eni","R1","2019-10-24 18:23:00",0,"POLYGON ((10.31860738542663 43.58221455205596, 10.31857455200314 43.58205313165479, 10.31853868641683 43.58194871215856, 10.31383736234482 43.58307122379347, 10.3138505861173 43.5830981761578, 10.31395465137124 43.58325863576759, 10.31398976533461 43.58330135944305, 10.31860738542663 43.58221455205596))"
10.321359,43.581684,"Costiero gas","#ff0000","2019-10-29 22:00:00","2019-10-29 22:00:00","eni","R3","2019-10-29 20:00:00",0,"POLYGON ((10.32301586588562 43.58034098591941, 10.32293240875556 43.5802858223934, 10.32273691349748 43.58018008477164, 10.32267844652126 43.58015452807907, 10.31891916019841 43.58136710483031, 10.31889076396814 43.58150671213789, 10.31887942196891 43.58167508212811, 10.32301586588562 43.58034098591941))"
10.3201203983695,43.58611844865335,"Costieri D’Alesio","#00ff00","2019-10-29 22:00:00","2019-10-29 22:00:00","eni","R3","2019-10-29 20:00:00",0,"POLYGON ((10.31881941004674 43.58169443732293, 10.31831816461546 43.58178599558664, 10.31774450651932 43.58193567511519, 10.31719372956049 43.58212563703945, 10.31667113802218 43.58235405192224, 10.31651882375141 43.58243642815278, 10.31881941004674 43.58169443732293))"
10.338633999999999,43.587334000000006,"Raffineria ENI","#ffff00","2019-10-29 22:00:00","2019-10-29 22:00:00","eni","R3","2019-10-29 20:00:00",0,"POLYGON ((10.32701073094488 43.58420992391876, 10.32683332615923 43.58457147634405, 10.32703636829259 43.58667480403535, 10.33110673079899 43.59031553471079, 10.33526476583024 43.59212506932278, 10.34518760877779 43.58907438314532, 10.35100560644575 43.5877860025377, 10.35102485075492 43.58750035095282, 10.34504287313419 43.58882570404887, 10.335455598039 43.59189340007708, 10.33139502153277 43.59014524010473, 10.32740692372226 43.58665590057038, 10.32701073094488 43.58420992391876))"
10.316178,43.583814000000004,"Depositi Neri","#00ffff","2019-10-29 22:00:00","2019-10-29 22:00:00","eni","R3","2019-10-29 20:00:00",0,"POLYGON ((10.31727292131764 43.58219321472493, 10.31712715690577 43.58214293893228, 10.31689798336681 43.58208314042048, 10.31677111910518 43.58205996631163, 10.31399566382968 43.58295520339978, 10.31399060021311 43.58296136423242, 10.31388653252527 43.5831218238422, 10.31380453292185 43.58328894948676, 10.31379172304356 43.58332624344715, 10.31401222888807 43.5832448613798, 10.31727292131764 43.58219321472493))"
