recettore,Orario maleodoranza,Maleodoranza,Date,data_inizio,data_fine,Latitude,Longitude
R13,08:00:00,maleodoranza,2019-08-13 00:00:00,2019-08-13 08:00:00,,43.61209425,10.2912154
R5,07:17:00-08:17:00,maleodoranze,2019-08-13 00:00:00,2019-08-13 07:17:00,2019-08-13 08:17:00,43.5887394,10.2991247
R1,08:54:00,HC,2019-08-13 00:00:00,2019-08-13 08:54:00,,43.59087795,10.29880415
R14,00:00:00-09:45:00,maleodoranze intense,2019-08-13 00:00:00,2019-08-13 00:00:00,2019-08-13 09:45:00,43.5947181,10.2973731
R11,12:15:00,gas e HC. Puzzo intensissimo.,2019-08-17 00:00:00,2019-08-17 12:15:00,,43.5994768,10.29433235
R6,12:37:00,gas,2019-08-17 00:00:00,2019-08-17 12:37:00,,43.5874994,10.2995666
R5,00:00:00-03:02:00,maleodoranze,2019-08-19 00:00:00,2019-08-19 00:00:00,2019-08-19 03:02:00,43.5887394,10.2991247
R11,00:30:00-06:45:00,gas e HC,2019-08-20 00:00:00,2019-08-20 00:30:00,2019-08-20 06:45:00,43.5994768,10.29433235
R1,09:27:00,HC,2019-08-20 00:00:00,2019-08-20 09:27:00,,43.59087795,10.29880415
R15,01:00:00,"forti cattivi odori acri,  quasi ogni notte",2019-08-22 00:00:00,2019-08-22 01:00:00,,43.59847755,10.2948075
R7,20:00:00,"maleodoranza, solventi e affini.  Secchezza gola",2019-08-23 00:00:00,2019-08-23 20:00:00,,43.5887394,10.2991247
R1,10:00:00,aria irrespirabile ,2019-08-24 00:00:00,2019-08-24 10:00:00,,43.59087795,10.29880415
R1,03:16:00,aria irrespirabile ,2019-08-30 00:00:00,2019-08-30 03:16:00,,43.59087795,10.29880415
R1,00:00:00-04:20:00,"aria irrespirabile, situazione catastrofica",2019-08-30 00:00:00,2019-08-30 00:00:00,2019-08-30 04:20:00,43.59087795,10.29880415
R16,23:00:00,maleodoranza,2019-09-04 00:00:00,2019-09-04 23:00:00,,43.59847755,10.2948075
R3,07:52:00,HC,2019-09-09 00:00:00,2019-09-09 07:52:00,,43.5887394,10.2991247
R1,07:58:00,HC,2019-09-09 00:00:00,2019-09-09 07:58:00,,43.59087795,10.29880415
R17,12:20:00-12:30:00,odore tipo metano – bruciato tipo fuga di gas – non vede colonne di fumo,2019-09-17 00:00:00,2019-09-17 12:20:00,2019-09-17 12:30:00,43.6301107,10.2888994
R6,12:37:00,Fortissimo odore di gas,2019-09-17 00:00:00,2019-09-17 12:37:00,,43.6038033,10.3157852
R11,12:15:00,forte odore di gas/idrocarburi,2019-09-17 00:00:00,2019-09-17 12:15:00,,43.5994768,10.29433235
R5,02:00:00-3:00:00,forte odore di idrocarburi,2019-09-19 00:00:00,2019-09-19 02:00:00,2019-09-19 03:00:00,43.5887394,10.2991247
R1,07:55:00,forte odore di idrocarburi,2019-09-21 00:00:00,2019-09-21 07:55:00,,43.59087795,10.29880415
R16,22:00:00,maleodoranze da zona industraile livorno,2019-10-11 00:00:00,2019-10-11 22:00:00,,43.59847755,10.2948075
R1,20:44:00,forte odore di idrocarburi,2019-10-13 00:00:00,2019-10-13 20:44:00,,43.59087795,10.29880415
R1,17:37:00,forte odore di idrocarburi,2019-10-13 00:00:00,2019-10-13 17:37:00,,43.59087795,10.29880415
R1,19:03:00,forte odore di idrocarburi,2019-10-14 00:00:00,2019-10-14 19:03:00,,43.59087795,10.29880415
R1,11:05:00,forte odore di idrocarburi,2019-10-15 00:00:00,2019-10-15 11:05:00,,43.59087795,10.29880415
R1,22:58:00,forte odore di idrocarburi,2019-10-17 00:00:00,2019-10-17 22:58:00,,43.59087795,10.29880415
R1,17:00:00,forte odore di idrocarburi,2019-10-20 00:00:00,2019-10-20 17:00:00,,43.59087795,10.29880415
R1,19:09:00,forte odore di idrocarburi,2019-10-20 00:00:00,2019-10-20 19:09:00,,43.59087795,10.29880415
R1,09:00:00,forte odore di idrocarburi,2019-10-23 00:00:00,2019-10-23 09:00:00,,43.59087795,10.29880415
R1,09:03:00,forte odore di idrocarburi,2019-10-24 00:00:00,2019-10-24 09:03:00,,43.59087795,10.29880415
R1,21:23:00,forte odore di idrocarburi,2019-10-24 00:00:00,2019-10-24 21:23:00,,43.59087795,10.29880415
R3,20:25:00,forte odore di idrocarburi,2019-10-27 00:00:00,2019-10-27 20:25:00,,43.5887394,10.2991247
R11,20:00:00-21:30:00,,2019-10-27 00:00:00,2019-10-27 20:00:00,2019-10-27 21:30:00,43.5994768,10.29433235
R3,20:39:00,forte odore di idrocarburi,2019-10-28 00:00:00,2019-10-28 20:39:00,,43.5887394,10.2991247
R3,22:00:00,forte odore di idrocarburi,2019-10-29 00:00:00,2019-10-29 22:00:00,,43.5887394,10.2991247
R11,22:04:00,forte odore di idrocarburi,2019-10-29 00:00:00,2019-10-29 22:04:00,,43.5994768,10.29433235
R16,20:03:00,forte odore di idrocarburi,2019-11-08 00:00:00,2019-11-08 20:03:00,,43.59847755,10.2948075
R11,07:00:00-10:00:00,forte odore di idrocarburi,2019-11-13 00:00:00,2019-11-13 07:00:00,2019-11-13 10:00:00,43.5994768,10.29433235
R1,09:57:00,forte odore di idrocarburi,2019-11-15 00:00:00,2019-11-15 09:57:00,,43.59087795,10.29880415
R1,08:28:00,forte odore di idrocarburi,2019-11-18 00:00:00,2019-11-18 08:28:00,,43.59087795,10.29880415
R1,21:15:00,forte odore di idrocarburi,2019-11-25 00:00:00,2019-11-25 21:15:00,,43.59087795,10.29880415
R1,08:45:00,forte odore di idrocarburi,2019-11-27 00:00:00,2019-11-27 08:45:00,,43.59087795,10.29880415
R1,10:25:00,forte odore di idrocarburi,2019-11-30 00:00:00,2019-11-30 10:25:00,,43.59087795,10.29880415
